Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Temperature_C,Humidity_Percent,Soil_Type,Soil_pH,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Soil_Moisture_Percent,Irrigation_Type,Crop_Variety,Sowing_Month,Harvest_Month,Growing_Days,Soil_Fertility_Index,Pest_Risk_Index,Disease_Risk_Index,Water_Availability_Index,Weather_Stress_Index,Crop_Health_Index
Jute,2012,Kharif,Nagaland,3010.0,5730,1296.6,453908.0,933.1,1.902,26.8,87.1,Alluvial,7.1,185.6,74.2,95.9,64.0,Canal,Improved,May,September,107,63.0,16.1,29.9,48.9,35.4,64.0
Sunflower,2006,Kharif,Chhattisgarh,6493.0,2724,1317.2,829221.03,1428.46,5.02,26.8,70.4,Laterite,5.65,153.6,57.4,55.0,51.9,Rainfed,High Yielding Variety,July,October,99,51.9,28.5,24.8,21.7,27.8,52.9
Sunflower,2014,Whole Year,Uttarakhand,40.0,43,1287.4,6038.4,13.2,1.0375,21.7,61.3,Black,7.79,210.4,74.1,77.0,53.6,Rainfed,KBSH,January,May,105,62.2,16.0,27.0,36.1,16.6,70.8
Other  Rabi pulses,2019,Rabi,Assam,15006.0,12467,2084.7,2577430.56,5552.22,0.695185185,17.6,79.9,Alluvial,7.34,271.1,102.2,111.9,61.5,Rainfed,Improved,December,April,115,76.1,21.4,24.8,39.0,36.1,60.6
Wheat,1998,Rabi,Assam,89591.0,90509,2354.4,8851590.8,25981.39,0.999545455,18.5,74.7,Loamy,6.17,152.9,56.7,49.1,56.0,Rainfed,Local,November,April,142,48.8,35.6,32.9,42.6,4.4,64.4
Sesamum,2006,Kharif,Uttar Pradesh,140351.0,23629,590.5,17924226.21,30877.22,0.16484375,31.1,58.4,Alluvial,6.97,196.6,49.0,53.2,29.7,Rainfed,Local,June,September,84,61.5,14.3,35.0,9.7,32.4,44.3
Other  Rabi pulses,2000,Rabi,Nagaland,6500.0,5700,1631.8,638105.0,1690.0,0.91875,16.7,72.9,Laterite,5.79,107.7,34.8,45.4,56.9,Rainfed,Improved,November,March,116,46.1,21.1,25.5,36.0,25.9,58.0
Wheat,1998,Rabi,Haryana,2185662.0,8563000,687.6,215943405.6,633841.98,3.825789474,17.1,47.0,Alluvial,7.37,128.0,43.9,61.7,50.6,Canal,Local,December,April,135,50.8,8.1,1.4,40.9,3.0,67.3
Sugarcane,2018,Whole Year,Mizoram,1462.0,44260,1665.2,237136.4,511.7,25.81,26.7,95.0,Black,8.12,236.2,79.8,109.5,77.1,Flood,Co 0238,January,December,326,70.6,29.3,48.8,75.0,11.2,73.0
Cotton(lint),1999,Kharif,Tripura,864.0,1023,2147.4,91696.32,233.28,1.18,28.3,90.1,Laterite,6.22,114.2,28.7,42.7,79.0,Canal,Local,June,November,155,51.3,66.9,38.7,82.3,8.8,70.1
Masoor,2016,Rabi,Uttar Pradesh,488964.0,471524,965.3,74933733.0,171137.4,0.943066667,18.4,60.1,Alluvial,7.11,191.1,79.9,91.6,59.8,Canal,Improved,December,April,107,66.4,22.9,17.6,49.2,12.4,61.0
Moong(Green Gram),2009,Summer,Odisha,147688.0,46492,1330.3,23012744.16,25106.96,0.296206897,31.6,63.6,Laterite,5.86,205.8,67.0,72.1,35.0,Rainfed,Improved,February,April,71,59.0,35.7,27.0,28.7,28.7,60.0
Niger seed,2000,Rabi,Odisha,31500.0,9030,1066.0,3092355.0,8190.0,0.384545455,18.4,56.0,Laterite,6.0,79.5,32.6,48.2,53.5,Drip,Local,December,March,96,47.4,17.7,11.1,47.2,24.3,61.3
Jowar,2004,Summer,Karnataka,15977.0,12690,1117.7,1730948.18,3355.17,0.799230769,29.4,50.3,Red,6.48,130.4,45.0,46.6,39.5,Rainfed,CSH 16,February,June,112,45.5,19.8,18.1,23.8,30.0,64.6
Masoor,2012,Rabi,Manipur,624.0,514,1176.7,94099.2,193.44,0.816666667,18.5,70.7,Loamy,6.34,176.1,62.8,81.5,44.6,Rainfed,Local,October,January,103,50.5,10.1,27.5,26.4,37.9,44.6
Sesamum,2003,Kharif,Chhattisgarh,25084.0,7099,1643.7,2482814.32,6020.16,0.288125,30.3,71.4,Red,6.49,131.8,43.4,37.8,56.0,Rainfed,HYV,July,October,87,46.2,19.9,8.2,33.1,15.5,57.0
Other Kharif pulses,2003,Kharif,Nagaland,6990.0,8810,1709.8,691870.2,1677.6,1.2925,28.6,81.7,Red,5.98,118.1,37.1,47.6,61.7,Canal,High Yielding Variety,May,September,105,36.6,13.3,21.4,65.2,17.4,70.2
Maize,2009,Rabi,Uttarakhand,63.0,103,847.8,9816.66,10.71,1.6,19.0,57.6,Loamy,6.99,189.7,77.3,77.6,49.9,Canal,Local,November,February,101,65.1,28.3,31.3,51.2,44.2,62.7
Sunflower,2008,Kharif,West Bengal,10127.0,11007,1560.1,1448566.08,911.43,1.159375,29.4,95.0,Loamy,6.77,160.3,87.1,67.9,38.0,Rainfed,Local,May,August,104,55.4,39.9,33.1,36.2,53.0,58.1
Small millets,2015,Rabi,West Bengal,525.0,716,1717.0,82902.75,173.25,0.965,21.9,80.3,Laterite,6.05,191.3,56.3,90.2,65.2,Borewell,Local,December,March,92,66.6,2.6,29.1,68.3,44.8,69.9
Cotton(lint),2001,Kharif,Punjab,607000.0,1307000,479.3,61992910.0,157820.0,1.896363636,27.9,52.4,Alluvial,7.02,119.3,45.4,56.8,40.8,Borewell,High Yielding Variety,June,November,153,48.0,25.0,35.5,30.4,31.0,55.9
Tobacco,2003,Whole Year,Mizoram,460.0,404,2499.5,45530.8,110.4,0.866666667,21.3,86.0,Loamy,6.64,116.4,57.9,65.7,71.2,Rainfed,Virginia,February,June,131,58.7,36.1,35.7,54.4,31.7,60.8
Urad,2010,Rabi,Andhra Pradesh,381529.0,207272,1297.0,63375782.19,91566.96,0.573809524,23.2,69.7,Red,6.26,168.8,86.7,84.5,64.3,Canal,Hybrid,December,March,76,64.3,17.7,14.3,56.1,36.7,58.2
Rice,2015,Winter,West Bengal,3977400.0,10910896,1717.0,628071234.0,1312542.0,2.670555556,24.7,74.0,Clay,7.51,192.7,82.2,90.0,65.3,Canal,IR 64,November,March,135,65.5,30.3,51.9,80.6,25.4,65.9
Onion,2009,Whole Year,Assam,6785.0,15801,1727.1,1057238.7,1153.45,2.375185185,17.7,92.6,Black,7.73,178.3,81.1,103.7,68.7,Borewell,Agrifound,February,July,140,68.3,28.5,45.2,64.9,26.7,66.2
Jowar,2014,Kharif,Tamil Nadu,235479.0,475144,911.3,35547909.84,77708.07,2.24125,31.1,69.4,Loamy,7.12,215.9,74.4,91.3,39.1,Borewell,Hybrid,May,August,101,54.0,17.6,17.2,39.0,23.8,62.0
Sweet potato,2018,Whole Year,Chhattisgarh,2561.0,14514,1515.5,415394.2,896.35,4.819166667,26.8,59.3,Black,7.54,249.7,95.4,102.8,53.4,Rainfed,Local,January,May,105,74.8,7.1,23.8,42.8,0.0,77.8
Bajra,2015,Kharif,Jammu and Kashmir,8897.0,5305,1572.6,1404925.27,2936.01,0.604,24.3,60.6,Loamy,6.51,246.0,69.5,111.7,56.0,Rainfed,HHB 67,July,October,81,67.0,29.0,26.3,37.9,43.0,46.9
Other  Rabi pulses,2010,Rabi,Goa,7370.0,7836,4193.3,1224230.7,1768.8,1.03,19.9,75.3,Alluvial,7.52,235.7,90.2,106.4,65.3,Rainfed,Improved,December,April,110,65.8,24.0,22.1,50.7,9.3,65.5
Jowar,2007,Kharif,Madhya Pradesh,531456.0,586727,740.4,70896230.4,85032.96,1.122083333,28.2,59.3,Loamy,6.64,147.3,58.8,66.3,44.6,Canal,HYV,May,August,101,58.9,32.2,14.4,39.2,2.9,56.4
Sugarcane,2000,Whole Year,Meghalaya,86.0,237,6258.8,8442.62,22.36,2.288,23.3,91.4,Alluvial,6.89,136.5,39.2,45.3,79.0,Flood,Co 86032,January,December,344,44.0,23.4,47.5,86.9,60.0,63.9
Groundnut,2006,Summer,Odisha,42429.0,54800,1716.9,5418607.59,9334.38,1.179285714,31.0,69.5,Sandy Loam,6.16,119.6,47.7,59.1,47.1,Rainfed,Hybrid,March,July,106,38.4,28.4,36.2,36.6,58.5,44.8
Soyabean,2005,Kharif,Manipur,170.0,200,1585.4,20386.4,35.7,1.0525,26.4,87.0,Alluvial,7.3,148.1,54.0,74.1,58.0,Rainfed,HYV,May,September,108,59.3,15.8,31.2,43.1,13.7,58.5
Sweet potato,2018,Whole Year,Tamil Nadu,328.0,8848,986.2,53201.6,114.8,25.31238095,27.2,63.2,Sandy Loam,6.14,240.1,86.3,94.2,45.7,Rainfed,Improved,January,May,108,64.1,12.6,32.5,30.9,17.7,60.7
Potato,2001,Whole Year,Meghalaya,18151.0,159032,4241.0,1853761.63,4719.26,7.288571429,18.8,83.7,Laterite,5.57,93.9,41.5,57.8,55.7,Rainfed,High Yielding Variety,January,May,107,36.0,32.7,50.4,61.0,20.8,64.0
Sesamum,2017,Kharif,Haryana,1500.0,700,417.1,236160.0,570.0,0.4875,31.4,52.3,Alluvial,7.6,226.1,67.1,89.4,38.9,Rainfed,High Yielding Variety,June,September,93,61.8,27.8,3.5,6.5,37.7,48.2
Other Cereals,2001,Kharif,Uttarakhand,7411.0,2004,1541.3,756885.43,1926.86,0.283636364,25.1,69.2,Loamy,6.25,106.7,44.0,61.8,67.7,Canal,Local,June,October,119,45.9,43.0,28.2,69.6,0.0,66.2
Maize,2011,Kharif,Tripura,3743.0,5058,2295.609091,627027.36,1235.19,1.3375,25.6,95.0,Alluvial,7.3,273.1,91.8,136.9,59.6,Rainfed,Hybrid,June,October,105,72.1,60.9,33.8,44.4,22.5,69.4
Rice,2010,Kharif,Punjab,2831000.0,10837000,392.7,470257410.0,679440.0,3.834,27.8,54.9,Clay,6.61,226.2,88.8,88.4,42.8,Borewell,Swarna,July,December,148,66.4,38.1,56.2,26.0,31.6,52.5
Arhar/Tur,2001,Rabi,Andhra Pradesh,5439.0,2706,928.4,555485.07,1414.14,0.46,23.5,53.5,Black,7.39,132.8,47.9,55.1,58.4,Canal,Pusa 992,November,April,162,48.8,31.6,14.1,43.4,18.7,60.6
Maize,2004,Rabi,Mizoram,719.0,1530,2640.8,77896.46,150.99,2.61,21.9,79.0,Loamy,6.72,176.6,51.3,72.4,69.4,Canal,Hybrid,November,March,106,66.2,36.0,34.3,89.9,37.2,83.3
Bajra,2011,Summer,Karnataka,3193.0,3328,1178.986364,534891.36,1053.69,1.013333333,31.1,38.8,Black,8.01,215.4,76.2,89.8,60.9,Canal,Hybrid,February,May,88,57.8,28.3,9.0,54.4,26.3,64.4
Dry chillies,2015,Whole Year,Assam,19929.0,17736,2155.3,3146988.39,6576.57,0.794814815,25.8,90.2,Black,8.24,240.4,72.2,102.1,52.6,Rainfed,High Yielding Variety,January,June,159,65.7,61.4,49.4,38.8,22.7,44.1
Khesari,2010,Rabi,Chhattisgarh,359198.0,223624,1283.1,59666379.78,86207.52,0.625,19.9,65.1,Laterite,5.76,222.2,64.7,110.2,43.9,Rainfed,Local,October,February,120,51.1,24.7,24.4,41.5,0.0,52.4
Rice,2000,Kharif,Bihar,591705.0,786858,1207.0,58087679.85,153843.3,1.310645161,31.4,81.9,Loamy,7.0,137.1,38.4,56.5,55.7,Flood,High Yielding Variety,July,November,131,36.5,38.5,31.2,63.1,37.3,54.2
Turmeric,2011,Whole Year,Assam,15447.0,13442,1743.4,2587681.44,5097.51,0.864444444,24.4,84.0,Laterite,5.71,198.2,70.4,80.0,69.4,Borewell,Alleppey,January,September,235,70.8,28.0,32.3,63.7,25.1,60.9
Cotton(lint),2008,Kharif,Punjab,527000.0,2285000,691.3,75382080.0,47430.0,4.371818182,28.9,56.2,Black,7.7,154.6,78.2,77.3,43.3,Sprinkler,Improved,July,January,168,47.8,30.8,40.3,27.9,31.9,53.5
Bajra,2016,Kharif,Chhattisgarh,90.0,50,1298.9,13792.5,31.5,0.71,29.7,88.9,Sandy Loam,6.03,233.6,74.6,97.1,51.6,Rainfed,High Yielding Variety,May,August,84,67.3,26.8,9.8,32.8,13.8,53.2
Moong(Green Gram),2003,Kharif,Uttar Pradesh,35227.0,8228,1075.6,3486768.46,8454.48,0.2940625,29.0,72.1,Alluvial,6.75,143.6,61.6,77.0,57.4,Canal,Local,May,July,66,57.9,30.3,15.3,54.5,3.5,62.0
Maize,2005,Kharif,Mizoram,10810.0,20720,2075.4,1296335.2,2270.1,1.99875,24.8,95.0,Laterite,6.17,122.5,50.0,51.2,75.6,Canal,HYV,July,October,104,45.6,34.2,36.4,80.3,13.0,69.8
Jowar,2002,Kharif,Bihar,4402.0,4446,1105.8,416737.34,1100.5,1.021,27.9,74.0,Loamy,7.08,119.7,38.0,52.2,55.1,Borewell,HYV,July,November,117,48.4,35.4,23.7,47.8,7.0,51.8
Moong(Green Gram),2011,Kharif,Bihar,7736.0,4700,1097.1,1295934.72,2552.88,0.6259375,29.1,65.2,Alluvial,6.55,264.8,86.2,103.3,45.9,Rainfed,Local,July,September,64,67.7,29.1,28.0,24.1,4.9,64.8
Linseed,2014,Rabi,West Bengal,5302.0,1931,1483.5,800389.92,1749.66,0.348,16.9,74.6,Loamy,6.96,203.2,53.5,87.9,54.0,Rainfed,HYV,November,March,121,63.2,16.1,23.5,43.6,17.9,57.8
Groundnut,1998,Kharif,Goa,350.0,412,2964.9,34580.0,101.5,1.18,29.2,90.8,Laterite,6.26,76.8,33.7,51.3,69.5,Canal,JL 24,June,October,121,46.5,31.3,36.8,85.3,38.4,61.8
Sesamum,2010,Summer,Odisha,7833.0,2092,1291.9,1301139.63,1879.92,0.324583333,30.4,72.4,Alluvial,7.26,268.5,92.4,108.4,50.7,Drip,HYV,April,July,81,81.4,29.1,30.3,56.4,12.5,59.2
Sunflower,2011,Rabi,Bihar,15914.0,22871,1097.1,2665913.28,5251.62,1.416153846,22.4,67.4,Loamy,7.01,225.6,77.9,137.0,39.2,Rainfed,Hybrid,October,January,91,69.6,28.5,23.6,15.1,18.9,57.6
Rice,1999,Kharif,Tripura,232160.0,505680,2147.4,24639140.8,62683.2,2.075,29.0,95.0,Alluvial,6.66,156.2,57.4,62.6,77.2,Canal,Swarna,June,October,112,62.6,59.7,59.5,96.7,20.6,79.6
Soyabean,2016,Rabi,Andhra Pradesh,1.0,1,890.0,153.25,0.35,1.0,23.7,44.1,Red,5.65,186.2,57.3,86.2,36.5,Canal,Hybrid,November,February,99,50.0,12.2,27.3,48.7,13.9,57.2
Onion,2013,Whole Year,Assam,7436.0,28812,1797.7,1074427.64,2007.72,3.347037037,20.9,88.9,Sandy Loam,6.74,157.7,64.8,63.2,52.8,Rainfed,Local,January,May,123,58.6,13.8,22.5,42.5,29.7,51.5
Coriander,2007,Whole Year,Chhattisgarh,3184.0,891,1246.2,424745.6,509.44,0.305,22.3,67.4,Sandy Loam,6.85,157.1,43.0,63.1,39.3,Rainfed,HYV,February,May,102,46.3,21.5,25.2,18.7,25.8,54.5
Sannhamp,2018,Whole Year,Karnataka,358.0,85,1419.1,58067.6,125.3,0.17,28.0,64.4,Alluvial,7.27,235.9,91.3,94.0,61.4,Borewell,Local,January,April,103,67.5,2.8,36.9,69.4,7.6,80.2
Tobacco,2014,Rabi,Meghalaya,779.0,759,3484.4,117597.84,257.07,1.035,19.7,82.3,Laterite,5.92,121.4,58.8,66.7,53.8,Rainfed,Local,October,February,135,53.1,24.0,43.1,48.7,33.0,65.4
Sesamum,2015,Kharif,Maharashtra,28141.0,3511,875.7,4443745.31,9286.53,0.134666667,29.9,55.4,Black,7.94,215.0,82.5,104.1,48.3,Drip,Hybrid,June,September,93,63.7,28.3,19.3,34.9,17.5,58.6
Rice,2002,Kharif,Gujarat,469000.0,541700,458.4,44400230.0,117250.0,1.209230769,32.2,69.2,Alluvial,6.6,134.6,43.4,40.8,45.4,Canal,Hybrid,June,October,127,41.3,31.2,37.1,32.2,63.6,41.1
Horse-gram,2007,Rabi,Chhattisgarh,2814.0,823,1246.2,375387.6,450.24,0.324166667,23.0,74.4,Red,5.74,133.0,56.7,84.4,39.1,Rainfed,Improved,October,January,94,42.6,5.8,15.0,34.1,23.1,49.7
Jowar,2000,Kharif,West Bengal,1016.0,521,1907.7,99740.72,264.16,0.578333333,30.4,84.0,Red,5.74,99.7,33.7,34.5,74.7,Canal,Hybrid,June,October,117,39.0,25.8,20.6,79.5,25.5,59.2
Sugarcane,2006,Whole Year,Meghalaya,87.0,239,2454.7,11110.77,19.14,2.348,23.1,78.8,Loamy,6.57,193.6,60.4,57.0,74.9,Canal,Co 86032,January,December,319,68.9,29.2,39.4,76.3,40.6,66.0
Onion,2006,Whole Year,Uttarakhand,2116.0,11886,1178.9,270234.36,465.52,6.464615385,18.7,59.1,Alluvial,7.21,178.1,62.6,81.2,57.6,Borewell,High Yielding Variety,February,June,134,62.6,33.8,35.7,61.3,0.0,68.3
Urad,2005,Kharif,Gujarat,92700.0,61500,942.4,11116584.0,19467.0,0.733913043,32.8,58.0,Black,7.89,180.4,47.4,67.0,48.2,Canal,Local,June,September,84,56.3,20.8,19.2,35.0,35.3,53.2
Banana,2018,Kharif,Puducherry,262.0,9124,1693.9,42496.4,91.7,24.5,31.3,85.4,Loamy,6.93,259.5,86.0,82.5,64.1,Borewell,Robusta,June,May,319,77.8,55.1,46.0,66.8,30.2,79.1
Masoor,2014,Rabi,Tripura,2498.0,1902,2015.7,377098.08,824.34,0.76,17.4,77.4,Loamy,7.2,178.3,75.9,90.3,61.5,Rainfed,Local,December,April,107,59.6,13.4,22.4,41.8,35.9,62.7
Mesta,2017,Kharif,Nagaland,1900.0,2100,1722.1,299136.0,722.0,1.091818182,25.8,92.1,Alluvial,7.52,220.3,81.3,95.6,74.5,Canal,Local,June,October,112,76.9,32.1,40.8,68.2,38.3,62.6
Cardamom,2015,Whole Year,Karnataka,17660.0,1528,1024.9,2788690.6,5827.8,0.08,24.4,55.5,Loamy,6.92,228.6,77.0,103.0,56.6,Canal,Hybrid,January,January,360,69.1,31.5,42.3,53.7,34.3,65.5
Bajra,2018,Kharif,Tamil Nadu,31109.0,88494,986.2,5045879.8,10888.15,2.8308,28.3,70.3,Sandy,6.49,168.3,79.1,85.9,36.1,Drip,Local,May,August,83,62.6,31.8,7.3,50.2,11.7,64.0
Tobacco,2017,Whole Year,Maharashtra,549.0,700,1129.5,86434.56,208.62,1.28,23.7,57.6,Sandy Loam,6.79,192.5,83.4,89.4,60.6,Canal,Local,January,June,140,71.3,37.5,21.7,51.1,16.1,72.4
Peas & beans (Pulses),2007,Rabi,Jammu and Kashmir,821.0,764,1042.2,109521.4,131.36,0.797142857,11.4,55.5,Alluvial,7.29,155.3,63.5,77.2,53.1,Sprinkler,Improved,November,February,101,50.6,36.8,20.7,44.6,37.2,57.7
Ginger,2016,Whole Year,Haryana,108.0,1877,554.7,16551.0,37.8,15.10333333,26.0,46.2,Alluvial,6.87,210.2,82.3,116.8,43.5,Canal,Local,February,September,223,70.8,19.4,51.7,25.1,44.8,51.7
Sweet potato,2013,Whole Year,Assam,6046.0,30513,1797.7,873586.54,1632.42,5.091481481,26.3,85.9,Red,6.37,166.3,57.8,63.7,52.8,Rainfed,Local,February,June,113,61.5,29.1,44.5,33.9,10.7,66.5
Coriander,2014,Whole Year,Karnataka,4339.0,1469,1238.5,655015.44,1431.87,0.3344,22.2,59.7,Red,6.11,171.4,64.7,93.4,47.4,Canal,Improved,January,April,101,51.5,16.2,24.5,63.1,10.5,65.6
Sugarcane,2000,Whole Year,Arunachal Pradesh,811.0,14358,2157.7,79615.87,210.86,16.885,24.0,89.0,Black,8.3,108.9,42.7,50.1,78.3,Canal,Co 86032,January,December,342,33.9,37.3,55.2,79.4,40.9,63.5
Sweet potato,2012,Rabi,Andhra Pradesh,650.0,6257,968.7,98020.0,201.5,9.615454545,21.3,52.3,Red,6.16,142.2,37.2,89.3,42.6,Borewell,Improved,November,February,102,55.7,22.4,18.7,50.5,38.5,65.1
Sweet potato,2014,Kharif,Uttar Pradesh,16833.0,208515,616.4,2541109.68,5554.89,12.38789474,28.2,69.6,Loamy,6.43,214.9,77.2,70.5,52.3,Canal,Local,July,November,116,68.7,25.2,25.2,29.4,15.3,66.7
Gram,2012,Rabi,Bihar,61473.0,86186,924.1,9270128.4,19056.63,1.6196875,23.9,54.9,Alluvial,7.49,206.9,66.6,87.2,46.9,Borewell,HYV,October,January,103,55.8,10.7,11.3,32.0,35.8,67.7
Peas & beans (Pulses),2008,Kharif,Nagaland,2140.0,2990,1540.9,306105.6,192.6,1.39,19.4,95.0,Laterite,5.95,154.6,46.9,51.2,45.1,Rainfed,Local,June,September,104,44.2,21.0,47.0,40.1,21.3,46.5
Urad,2012,Rabi,Chhattisgarh,3385.0,850,1366.8,510458.0,1049.35,0.285,23.5,63.8,Loamy,6.82,185.9,71.7,102.2,70.9,Canal,Hybrid,November,January,70,74.4,16.2,20.5,65.1,49.9,70.1
Sugarcane,2017,Whole Year,Tripura,806.0,42489,3326.8,126896.64,306.28,53.38875,27.4,93.2,Black,7.31,191.9,97.6,100.8,72.9,Rainfed,Local,January,December,326,75.0,54.7,34.4,46.7,14.7,65.0
Groundnut,2011,Kharif,Bihar,812.0,829,1097.1,136026.24,267.96,1.0075,28.0,69.3,Loamy,6.43,241.8,74.5,103.7,59.6,Canal,Local,May,September,118,74.7,10.9,19.6,47.2,17.5,71.6
Linseed,2018,Rabi,West Bengal,3945.0,1759,2012.6,639879.0,1380.75,0.437058824,17.3,84.5,Alluvial,6.54,244.2,82.7,103.7,77.7,Borewell,HYV,December,April,114,73.9,7.1,19.2,69.2,15.6,73.1
Arhar/Tur,2016,Rabi,Mizoram,46.0,41,2626.8,7049.5,16.1,0.89,20.9,82.1,Red,5.71,196.0,60.1,72.6,50.8,Rainfed,Local,October,April,169,62.6,10.1,30.5,59.8,48.3,65.3
Ginger,2013,Whole Year,Tamil Nadu,304.0,2117,740.9,43924.96,82.08,6.993333333,23.9,63.5,Alluvial,7.22,197.5,70.0,91.9,34.1,Flood,Rio-de-Janeiro,February,October,226,58.3,26.7,43.0,28.8,17.0,60.3
Potato,2005,Whole Year,Mizoram,953.0,3891,2075.4,114283.76,200.13,5.05125,23.0,82.3,Red,6.01,88.2,48.3,50.5,59.4,Rainfed,Hybrid,January,May,106,28.7,46.6,27.7,40.8,41.8,47.2
Rapeseed &Mustard,1999,Rabi,Gujarat,320000.0,301000,458.9,33961600.0,86400.0,0.94125,15.3,37.4,Black,7.39,136.0,54.8,55.2,53.1,Borewell,Hybrid,October,February,128,42.4,29.1,25.0,30.1,15.0,59.8
Dry chillies,2013,Whole Year,Tamil Nadu,41401.0,11294,740.9,5982030.49,11178.27,0.363333333,27.0,58.8,Alluvial,7.49,170.1,62.8,74.9,41.5,Canal,Improved,January,June,155,51.2,37.4,40.9,40.0,17.0,49.5
Rice,2008,Kharif,Uttarakhand,275711.0,528524,1363.7,39437701.44,24813.99,1.627692308,25.1,78.3,Loamy,6.11,196.1,85.3,65.3,60.2,Canal,High Yielding Variety,July,November,134,67.0,44.2,41.9,67.8,20.5,56.2
Ginger,2004,Kharif,Manipur,2480.0,4090,1613.3,268683.2,520.8,1.73375,26.2,93.7,Alluvial,7.29,160.3,48.1,56.4,68.6,Canal,Local,May,December,219,54.4,43.5,32.4,71.7,25.3,55.7
Tobacco,2009,Rabi,Meghalaya,635.0,427,2995.9,98945.7,107.95,0.7375,18.6,90.2,Sandy Loam,6.49,191.4,91.4,87.4,69.7,Rainfed,Virginia,November,March,129,71.6,33.0,51.2,69.8,44.9,70.1
Rice,2017,Winter,Odisha,3014130.0,5279130,1344.4,474544627.2,1145369.4,1.747,22.6,65.3,Clay,6.65,216.0,71.8,95.6,60.2,Borewell,Hybrid,November,March,118,73.3,43.1,26.1,64.5,34.6,65.3
Other Kharif pulses,2019,Kharif,Chhattisgarh,4213.0,1173,1420.3,723624.88,1558.81,0.265,28.5,78.5,Red,5.93,207.0,75.8,121.6,60.7,Canal,Improved,June,September,104,64.3,21.7,27.2,68.9,19.0,74.8
Khesari,2008,Rabi,Chhattisgarh,387565.0,211087,1117.9,55437297.6,34880.85,0.373125,17.7,58.2,Alluvial,6.57,183.9,65.8,80.4,52.4,Rainfed,Local,November,March,109,46.4,33.8,11.2,19.3,28.4,43.4
Castor seed,2009,Kharif,Haryana,1012.0,1100,393.0,157689.84,172.04,0.965,25.4,45.5,Sandy Loam,6.99,200.1,67.4,91.7,42.8,Borewell,DCH 177,May,November,166,58.0,23.4,21.9,28.6,26.0,64.5
Peas & beans (Pulses),2008,Rabi,Uttar Pradesh,351030.0,423753,891.6,50211331.2,31592.7,1.223043478,15.1,47.9,Loamy,6.31,174.1,67.6,68.9,48.3,Canal,HYV,December,March,103,56.5,14.5,14.6,46.6,22.1,52.0
Rice,2002,Kharif,Madhya Pradesh,1671107.0,1024930,800.8,158203699.7,417776.75,0.608,24.8,49.6,Black,7.12,90.0,30.5,65.3,41.9,Rainfed,IR 64,May,October,144,41.6,30.0,43.3,17.7,68.0,39.5
Castor seed,2007,Kharif,Haryana,2098.0,1900,443.8,279873.2,335.68,0.762,24.6,46.7,Alluvial,6.53,150.9,71.2,84.7,51.2,Canal,High Yielding Variety,May,November,166,72.3,23.0,20.3,34.1,23.1,69.5
Banana,2011,Whole Year,Manipur,6279.0,81942,1533.561905,1051858.08,2072.07,13.05444444,24.9,69.2,Laterite,5.33,246.5,97.4,94.6,62.4,Canal,Robusta,January,December,338,64.3,19.2,43.4,76.8,23.1,67.2
Linseed,2018,Rabi,Uttarakhand,13.0,13,1373.0,2108.6,4.55,1.0,13.4,56.7,Loamy,6.98,201.7,93.1,103.4,66.5,Canal,Improved,November,March,128,68.5,20.7,26.3,67.1,28.3,75.9
Rapeseed &Mustard,2019,Rabi,Assam,287447.0,177226,2084.7,49371896.72,106355.39,0.583703704,14.7,90.4,Loamy,6.83,221.3,97.3,126.0,63.4,Canal,HYV,December,April,112,85.2,29.8,24.6,75.9,45.7,79.3
Potato,2013,Kharif,Tamil Nadu,3875.0,70206,740.9,559898.75,1046.25,18.37333333,25.1,74.2,Red,5.82,164.3,47.8,71.6,40.1,Borewell,Local,July,November,107,45.4,23.3,44.4,36.4,64.8,41.9
other oilseeds,2017,Whole Year,Goa,841.0,1690,2772.5,132407.04,319.58,2.08,26.3,80.1,Black,8.16,232.9,80.5,99.3,74.5,Borewell,Hybrid,January,May,105,66.2,26.6,31.4,90.0,18.1,82.7
Urad,2019,Kharif,Punjab,2000.0,1200,653.2,343520.0,740.0,0.818,27.0,51.0,Sandy Loam,6.23,225.6,90.2,97.6,39.4,Canal,HYV,May,July,75,75.2,21.6,35.4,30.2,29.3,64.0
Rice,2006,Summer,Karnataka,284632.0,822692,1146.3,36350352.72,62619.04,2.6825,31.4,39.0,Black,8.24,153.7,55.4,66.2,44.6,Rainfed,Hybrid,February,June,125,43.4,38.5,31.1,11.5,65.4,42.0
Groundnut,2019,Kharif,Puducherry,1.0,3,1317.0,171.76,0.37,3.0,30.0,84.3,Sandy Loam,6.97,248.6,101.8,96.0,50.6,Canal,TAG 24,June,October,112,68.3,44.7,16.4,72.4,41.1,76.4
Other Kharif pulses,2016,Kharif,Puducherry,2.0,3,1391.3,306.5,0.7,1.5,28.2,81.1,Red,5.72,163.0,68.5,88.4,54.5,Borewell,Improved,June,September,89,57.5,30.3,30.9,59.7,5.6,70.7
Other  Rabi pulses,2016,Rabi,Andhra Pradesh,6743.0,8229,890.0,1033364.75,2360.05,0.96,19.5,49.1,Red,5.97,157.5,44.1,79.5,33.9,Rainfed,Improved,December,April,117,53.9,4.6,36.7,19.7,6.6,61.1
